site_id,year1,year2,bd_occupied_past,bd_occupied_present,mean_bd_past,mean_bd_present,frog_abund_present,num_inf_present,diff,area,elevation,jurisdiction,density,location
70619,2010,2011,1,1,3.23264196731763,4.93468263819067,2,2,1,94296,3237,yosemite,0.0725334216506445,1
70619,2011,2012,1,1,4.93468263819067,3.89608508542329,1,1,1,94296,3237,yosemite,0.0362667108253223,1
70641,2015,2016,1,1,3.96141478549187,4.59302873665975,10,12,1,140557,2798,yosemite,0.297049321773597,1
70641,2016,2017,1,1,4.59302873665975,4.36297060944868,9,11,1,140557,2798,yosemite,0.267344389596238,1
70641,2017,2018,1,1,4.36297060944868,3.8796151251408,1,2,1,140557,2798,yosemite,0.0297049321773597,1
70641,2018,2019,1,1,3.8796151251408,3.0254302251179,4,3,1,140557,2798,yosemite,0.118819728709439,1
70650,2005,2006,1,1,4.77167336583844,3.30449052777349,2,1,1,191513,2294,yosemite,0.0508962365988113,1
70666,2005,2006,1,1,3.18890996484517,3.14363923527454,2,1,1,289005,2233,yosemite,0.0414316397819407,1
70688,2006,2007,1,1,4.74905574853743,3.48058178682917,1,1,1,5150,3018,yosemite,0.155185517991878,1
70736,2008,2009,1,1,3.09000760758645,3.00496720630775,62,99,1,4982,2993,yosemite,9.78238233059211,1
71539,2005,2006,1,1,4.07820385039598,3.06035001906799,22,5,1,456,2188,yosemite,11.4734773913445,1
71776,2005,2006,1,1,3.48706698966762,2.74461592690767,3,3,1,595,2237,yosemite,1.36967515040304,1
71962,2008,2009,1,1,3.25289689666083,2.62753658879331,3,4,1,749,2496,yosemite,1.22077366115239,1
72093,2014,2015,1,1,3.13278866890081,3.18225675888818,7,4,1,889,3342,yosemite,2.61458017745069,1
72093,2015,2016,1,1,3.18225675888818,4.12755643675356,1,5,1,889,3342,yosemite,0.373511453921527,1
72093,2017,2018,1,1,4.59757769118257,3.73089142173897,7,3,1,889,3342,yosemite,2.61458017745069,1
72204,2005,2006,1,1,2.85733249643127,2.68124123737559,2,1,1,1032,2359,yosemite,0.693337917549318,1
72336,2015,2016,1,1,4.01339357182843,4.57965265053058,409,160,1,1251,3066,yosemite,128.780307531303,1
72336,2016,2017,1,1,4.57965265053058,4.18320472366829,14,27,1,1251,3066,yosemite,4.40812788615706,1
72336,2017,2018,1,1,4.18320472366829,3.55229130283736,27,49,1,1251,3066,yosemite,8.50138949473146,1
72336,2018,2019,1,1,3.55229130283736,3.27319678900074,8,13,1,1251,3066,yosemite,2.51893022066118,1
72442,2018,2019,1,1,3.33334815806126,3.22942578569858,2,2,1,1471,3301,yosemite,0.58073561902219,1
72554,2008,2009,1,1,3.44520509357142,3.21935236191251,28,17,1,1791,2972,yosemite,7.36826171251467,1
72554,2009,2010,1,1,3.21935236191251,2.58433122436753,4,1,1,1791,2972,yosemite,1.05260881607352,1
72808,2015,2016,1,1,3.60856260250332,4.64931942940254,1201,310,1,2863,3066,yosemite,249.969567103154,1
72808,2016,2017,1,1,4.64931942940254,4.49480848113371,54,103,1,2863,3066,yosemite,11.2392644659203,1
72808,2017,2018,1,1,4.49480848113371,3.66290850137285,51,109,1,2863,3066,yosemite,10.6148608844803,1
72808,2018,2019,1,1,3.66290850137285,3.60099026577553,13,38,1,2863,3066,yosemite,2.70574885290675,1
